gid,geometry
다사478439,"POLYGON ((126.90948766500195 37.49378005519068, 126.91061885984293 37.49378570417306, 126.91062594260386 37.49288438429651, 126.90949476135488 37.49287873549697, 126.90948766500195 37.49378005519068))"
다사477439,"POLYGON ((126.90835647047707 37.49377439537774, 126.90948766500195 37.49378005519068, 126.90949476135488 37.49287873549697, 126.90836358042192 37.49287307586725, 126.90835647047707 37.49377439537774))"
다사479440,"POLYGON ((126.91061177676653 37.49468702391061, 126.91174298551555 37.49469266224494, 126.91175005499936 37.49379134232488, 126.91061885984293 37.49378570417306, 126.91061177676653 37.49468702391061))"
다사479445,"POLYGON ((126.91057635665189 37.49919362051328, 126.91170763337294 37.499199259760225, 126.91171470443132 37.49829794053516, 126.91058344130589 37.498292301470755, 126.91057635665189 37.49919362051328))"
다사479444,"POLYGON ((126.91058344130589 37.498292301470755, 126.91171470443132 37.49829794053516, 126.91172177517474 37.49739662117113, 126.91059052564432 37.49739098228925, 126.91058344130589 37.498292301470755))"
다사480443,"POLYGON ((126.91172177517474 37.49739662117113, 126.91285302502008 37.497402249221025, 126.91286008185418 37.49650092953579, 126.91172884560324 37.496495301668055, 126.91172177517474 37.49739662117113))"
다사481445,"POLYGON ((126.91283891040894 37.49920488817448, 126.91397018775928 37.49921050575606, 126.91397723162636 37.498309186167006, 126.91284596787166 37.49830356876725, 126.91283891040894 37.49920488817448))"
다사481443,"POLYGON ((126.91285302502008 37.497402249221025, 126.91398427517973 37.49740786643896, 126.91399131841939 37.4965065465719, 126.91286008185418 37.49650092953579, 126.91285302502008 37.497402249221025))"
다사481444,"POLYGON ((126.91284596787166 37.49830356876725, 126.91397723162636 37.498309186167006, 126.91398427517973 37.49740786643896, 126.91285302502008 37.497402249221025, 126.91284596787166 37.49830356876725))"
다사502470,"POLYGON ((126.93642640299994 37.521853616160996, 126.93755802690734 37.52185901061712, 126.93756479279254 37.5209576907637, 126.93643318249624 37.520952296482136, 126.93642640299994 37.521853616160996))"
다사501471,"POLYGON ((126.93528798598457 37.52274953022822, 126.93641962320169 37.5227549357009, 126.93642640299994 37.521853616160996, 126.93529477939455 37.521848210863226, 126.93528798598457 37.52274953022822))"
다사502469,"POLYGON ((126.93643318249624 37.520952296482136, 126.93756479279254 37.5209576907637, 126.93757155837635 37.520056370771336, 126.93643996169057 37.52005097666434, 126.93643318249624 37.520952296482136))"
다사503470,"POLYGON ((126.93755802690734 37.52185901061712, 126.9386896511161 37.5218643942316, 126.93869640339021 37.520963074203955, 126.93756479279254 37.5209576907637, 126.93755802690734 37.52185901061712))"
다사470447,"POLYGON ((126.90038046544475 37.50094501417294, 126.90151176649672 37.50095075128489, 126.9015189605559 37.50004943399331, 126.90038767310064 37.500043697067056, 126.90038046544475 37.50094501417294))"
다사471446,"POLYGON ((126.9015189605559 37.50004943399331, 126.9026502483316 37.50005516008664, 126.90265742847427 37.49915384247068, 126.90152615429469 37.4991481165627, 126.9015189605559 37.50004943399331))"
다사469446,"POLYGON ((126.8992563859664 37.50003794930788, 126.90038767310064 37.500043697067056, 126.9003948804355 37.49914237982214, 126.89926360689732 37.49913663224899, 126.8992563859664 37.50003794930788))"
다사469448,"POLYGON ((126.89924194313964 37.50184058300849, 126.90037325746783 37.50184633113977, 126.90038046544475 37.50094501417294, 126.89924916471384 37.500939266227704, 126.89924194313964 37.50184058300849))"
다사454468,"POLYGON ((126.88212368704619 37.519779310752156, 126.8832552685541 37.51978522521386, 126.88326268709439 37.518883913857174, 126.88213111919563 37.518877999586884, 126.88212368704619 37.519779310752156))"
다사455468,"POLYGON ((126.8832552685541 37.51978522521386, 126.88438685039247 37.51979112883505, 126.88439425532357 37.518889817287324, 126.88326268709439 37.518883913857174, 126.8832552685541 37.51978522521386))"
다사454467,"POLYGON ((126.88213111919563 37.518877999586884, 126.88326268709439 37.518883913857174, 126.88327010530425 37.51798260236136, 126.88213855101405 37.51797668828245, 126.88213111919563 37.518877999586884))"
다사454469,"POLYGON ((126.88211625456569 37.52068062177829, 126.88324784968336 37.52068653643139, 126.8832552685541 37.51978522521386, 126.88212368704619 37.519779310752156, 126.88211625456569 37.52068062177829))"
다사453473,"POLYGON ((126.88095487210104 37.524279938230315, 126.88208652133275 37.52428586449132, 126.88209395513768 37.52338455402178, 126.88096231951812 37.52337862795256, 126.88095487210104 37.524279938230315))"
다사454472,"POLYGON ((126.88209395513768 37.52338455402178, 126.8832255910883 37.52339046924912, 126.88323301095048 37.52248915844901, 126.88210138861143 37.5224832434131, 126.88209395513768 37.52338455402178))"
다사452472,"POLYGON ((126.87983068423033 37.52337269104145, 126.88096231951812 37.52337862795256, 126.88096976660349 37.52247731753563, 126.87983814492723 37.52247138081665, 126.87983068423033 37.52337269104145))"
다사504470,"POLYGON ((126.9386896511161 37.5218643942316, 126.93982127562568 37.52186976700442, 126.93982801428862 37.52096844680292, 126.93869640339021 37.520963074203955, 126.9386896511161 37.5218643942316))"
다사503472,"POLYGON ((126.93754449423278 37.523661649907154, 126.93867614566558 37.52366703387008, 126.93868289854124 37.5227657141203, 126.93755126072075 37.52276033033161, 126.93754449423278 37.523661649907154))"
다사504472,"POLYGON ((126.93867614566558 37.52366703387008, 126.9398077973992 37.52367240699065, 126.93981453666252 37.52277108706699, 126.93868289854124 37.5227657141203, 126.93867614566558 37.52366703387008))"
다사488449,"POLYGON ((126.92073000615581 37.502849265059666, 126.92186134007866 37.502854807529765, 126.92186829001396 37.50195348723358, 126.92073696968924 37.50194794494289, 126.92073000615581 37.502849265059666))"
